"","Year","N","mid","Species"
"439","1978",0,74.5,"Sprattus sprattus"
"440","1978",0,78.5,"Sprattus sprattus"
"441","1978",0,82.5,"Sprattus sprattus"
"442","1978",0,86.5,"Sprattus sprattus"
"443","1978",0,90.5,"Sprattus sprattus"
"444","1978",0,94.5,"Sprattus sprattus"
"445","1978",0,98.5,"Sprattus sprattus"
"446","1978",0,102.5,"Sprattus sprattus"
"447","1978",0,106.5,"Sprattus sprattus"
"448","1978",0,110.5,"Sprattus sprattus"
"449","1978",0,114.5,"Sprattus sprattus"
"450","1978",0,118.5,"Sprattus sprattus"
"451","1978",0,122.5,"Sprattus sprattus"
"452","1978",0,126.5,"Sprattus sprattus"
"453","1978",0,130.5,"Sprattus sprattus"
"454","1978",0,134.5,"Sprattus sprattus"
"455","1978",0,138.5,"Sprattus sprattus"
"456","1979",8.28375733855186,2.5,"Sprattus sprattus"
"457","1979",309.839530332681,6.5,"Sprattus sprattus"
"458","1979",375.164383561644,10.5,"Sprattus sprattus"
"459","1979",148.054794520548,14.5,"Sprattus sprattus"
"460","1979",0.0313111545988258,18.5,"Sprattus sprattus"
"461","1979",0,22.5,"Sprattus sprattus"
"462","1979",0,26.5,"Sprattus sprattus"
"463","1979",0,30.5,"Sprattus sprattus"
"464","1979",0,34.5,"Sprattus sprattus"
"465","1979",0,38.5,"Sprattus sprattus"
"466","1979",0,42.5,"Sprattus sprattus"
"467","1979",0,46.5,"Sprattus sprattus"
"468","1979",0,50.5,"Sprattus sprattus"
"469","1979",0,54.5,"Sprattus sprattus"
"470","1979",0,58.5,"Sprattus sprattus"
"471","1979",0,62.5,"Sprattus sprattus"
"472","1979",0,66.5,"Sprattus sprattus"
"473","1979",0,70.5,"Sprattus sprattus"
"474","1979",0,74.5,"Sprattus sprattus"
"475","1979",0,78.5,"Sprattus sprattus"
"476","1979",0,82.5,"Sprattus sprattus"
"477","1979",0,86.5,"Sprattus sprattus"
"478","1979",0,90.5,"Sprattus sprattus"
"479","1979",0,94.5,"Sprattus sprattus"
"480","1979",0,98.5,"Sprattus sprattus"
"481","1979",0,102.5,"Sprattus sprattus"
"482","1979",0,106.5,"Sprattus sprattus"
"483","1979",0,110.5,"Sprattus sprattus"
"484","1979",0,114.5,"Sprattus sprattus"
"485","1979",0,118.5,"Sprattus sprattus"
"486","1979",0,122.5,"Sprattus sprattus"
"487","1979",0,126.5,"Sprattus sprattus"
"488","1979",0,130.5,"Sprattus sprattus"
"489","1979",0,134.5,"Sprattus sprattus"
"490","1979",0,138.5,"Sprattus sprattus"
"491","1980",0.792682926829268,2.5,"Sprattus sprattus"
"492","1980",336.085365853659,6.5,"Sprattus sprattus"
"493","1980",937.939024390244,10.5,"Sprattus sprattus"
"494","1980",77.8682926829268,14.5,"Sprattus sprattus"
"495","1980",0.0731707317073171,18.5,"Sprattus sprattus"
"496","1980",0,22.5,"Sprattus sprattus"
"497","1980",0,26.5,"Sprattus sprattus"
"498","1980",0,30.5,"Sprattus sprattus"
"499","1980",0,34.5,"Sprattus sprattus"
"500","1980",0,38.5,"Sprattus sprattus"
"501","1980",0,42.5,"Sprattus sprattus"
"502","1980",0,46.5,"Sprattus sprattus"
"503","1980",0,50.5,"Sprattus sprattus"
"504","1980",0,54.5,"Sprattus sprattus"
"505","1980",0,58.5,"Sprattus sprattus"
"506","1980",0,62.5,"Sprattus sprattus"
"507","1980",0,66.5,"Sprattus sprattus"
"508","1980",0,70.5,"Sprattus sprattus"
"509","1980",0,74.5,"Sprattus sprattus"
"510","1980",0,78.5,"Sprattus sprattus"
"511","1980",0,82.5,"Sprattus sprattus"
"512","1980",0,86.5,"Sprattus sprattus"
"513","1980",0,90.5,"Sprattus sprattus"
"514","1980",0,94.5,"Sprattus sprattus"
"515","1980",0,98.5,"Sprattus sprattus"
"516","1980",0,102.5,"Sprattus sprattus"
"517","1980",0,106.5,"Sprattus sprattus"
"518","1980",0,110.5,"Sprattus sprattus"
"519","1980",0,114.5,"Sprattus sprattus"
"520","1980",0,118.5,"Sprattus sprattus"
"521","1980",0,122.5,"Sprattus sprattus"
"522","1980",0,126.5,"Sprattus sprattus"
"523","1980",0,130.5,"Sprattus sprattus"
"524","1980",0,134.5,"Sprattus sprattus"
"525","1980",0,138.5,"Sprattus sprattus"
"526","1981",0.0200573065902579,2.5,"Sprattus sprattus"
"527","1981",257.54441260745,6.5,"Sprattus sprattus"
"528","1981",789.154727793696,10.5,"Sprattus sprattus"
"529","1981",149.747851002865,14.5,"Sprattus sprattus"
"530","1981",0.467048710601719,18.5,"Sprattus sprattus"
"531","1981",0,22.5,"Sprattus sprattus"
"532","1981",0,26.5,"Sprattus sprattus"
"533","1981",0,30.5,"Sprattus sprattus"
"534","1981",0,34.5,"Sprattus sprattus"
"535","1981",0,38.5,"Sprattus sprattus"
"536","1981",0,42.5,"Sprattus sprattus"
"537","1981",0,46.5,"Sprattus sprattus"
"538","1981",0,50.5,"Sprattus sprattus"
"539","1981",0,54.5,"Sprattus sprattus"
"540","1981",0,58.5,"Sprattus sprattus"
"541","1981",0,62.5,"Sprattus sprattus"
"542","1981",0,66.5,"Sprattus sprattus"
"543","1981",0,70.5,"Sprattus sprattus"
"544","1981",0,74.5,"Sprattus sprattus"
"545","1981",0,78.5,"Sprattus sprattus"
"546","1981",0,82.5,"Sprattus sprattus"
"547","1981",0,86.5,"Sprattus sprattus"
"548","1981",0,90.5,"Sprattus sprattus"
"549","1981",0,94.5,"Sprattus sprattus"
"550","1981",0,98.5,"Sprattus sprattus"
"551","1981",0,102.5,"Sprattus sprattus"
"552","1981",0,106.5,"Sprattus sprattus"
